round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
1,4,1,Ja'Marr Chase,WR,1,CIN,6,2.9,3.7,0.45,323,132,81,0,46,97,6,-0.975
1,4,2,Puka Nacua,WR,2,LAR,11,3.7,3.9,0.48,333,142,84,46,97,75,5,-1.453
1,4,3,Amon-Ra St. Brown,WR,4,DET,6,7.1,7.4,0.89,301,110,85,2,28,47,20,-1.718
1,4,4,Jaxon Smith-Njigba,WR,3,SEA,11,5.3,6.1,0.79,316,125,79,68,48,20,31,-1.843
2,17,1,Nico Collins,WR,9,HOU,8,19.6,22.3,0.95,248,57,78,8,29,69,26,-2.763
2,17,2,A.J. Brown,WR,8,NE,11,17.7,19.4,0.82,246,55,89,40,83,83,29,-2.88
2,17,3,Omarion Hampton,RB,9,LAC,7,18.6,20.0,0.79,232,48,98,72,55,93,13,-2.913
2,17,4,Ashton Jeanty,RB,11,LV,13,20.0,19.6,0.77,253,69,93,23,99,49,10,-2.934
3,24,1,Brock Bowers,TE,1,LV,13,20.4,28.1,0.74,231,60,96,19,67,39,10,-2.916
3,24,2,DeVonta Smith,WR,14,PHI,10,29.5,31.1,0.94,227,36,100,11,33,97,30,-3.118
3,24,3,Tee Higgins,WR,17,CIN,6,36.5,38.8,0.99,221,30,76,14,25,97,6,-3.271
3,24,4,Trey McBride,TE,2,ARI,14,23.9,27.2,0.75,236,65,87,67,47,1,17,-3.296
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,38.8,0.64,221,30,76,14,25,97,6,-3.448
4,37,2,Ladd McConkey,WR,18,LAC,7,39.0,41.3,0.78,214,23,75,5,25,91,25,-3.492
4,37,3,Emeka Egbuka,WR,21,TB,10,40.9,39.9,0.71,224,33,95,12,50,97,11,-3.526
4,37,4,D'Andre Swift,RB,18,CHI,10,46.9,46.0,0.91,207,23,22,3,4,40,16,-3.552
5,44,1,Luther Burden III,WR,23,CHI,10,50.4,58.3,0.95,200,9,94,13,56,97,9,-3.627
5,44,2,D'Andre Swift,RB,18,CHI,10,46.9,46.0,0.63,207,23,22,3,4,40,16,-3.695
5,44,3,Ladd McConkey,WR,18,LAC,7,39.0,41.3,0.31,214,23,75,5,25,91,25,-3.726
5,44,4,Jaylen Waddle,WR,20,DEN,10,40.5,45.1,0.57,208,17,80,33,57,82,14,-3.737
6,57,1,Jadarian Price,RB,24,SEA,11,63.0,67.8,0.85,170,-14,96,47,97,98,15,-3.838
