round,pick,slot,player,pos,pos_rank,team,bye,composite,adp,p_available,proj,vbd,boom,bust,risk,situation,playoff_sos_rank,score
1,4,1,Amon-Ra St. Brown,WR,4,DET,6,7.2,7.8,1.0,301,110,77,1,19,64,20,-1.712
1,4,2,Jaxon Smith-Njigba,WR,3,SEA,11,5.3,6.1,0.95,316,125,71,77,61,51,31,-1.887
1,4,3,Jonathan Taylor,RB,4,IND,13,7.9,6.6,0.85,291,107,27,76,14,58,6,-1.901
1,4,4,James Cook III,RB,5,BUF,7,10.5,10.4,0.98,257,73,58,42,54,85,17,-1.981
2,17,1,Omarion Hampton,RB,9,LAC,7,18.1,19.3,0.46,232,48,98,79,66,85,13,-2.663
2,17,2,Kenneth Walker III,RB,10,KC,5,18.5,22.0,0.95,236,52,93,83,85,70,27,-2.717
2,17,3,Nico Collins,WR,9,HOU,8,20.0,23.7,1.0,248,57,75,13,51,74,26,-2.827
2,17,4,George Pickens,WR,10,DAL,14,22.6,24.7,1.0,252,61,59,21,36,53,13,-2.964
3,24,1,Kenneth Walker III,RB,10,KC,5,18.5,22.0,0.46,236,52,93,83,85,70,27,-3.032
3,24,2,Nico Collins,WR,9,HOU,8,20.0,23.7,0.51,248,57,75,13,51,74,26,-3.081
3,24,3,Javonte Williams,RB,16,DAL,14,34.5,33.4,0.92,217,33,17,3,7,62,11,-3.096
3,24,4,Brock Bowers,TE,1,LV,13,20.8,26.3,0.51,231,60,93,47,79,48,10,-3.1
4,37,1,Tee Higgins,WR,17,CIN,6,36.5,43.7,0.99,221,30,84,23,26,85,6,-3.105
4,37,2,Ladd McConkey,WR,18,LAC,7,39.4,43.0,0.88,214,23,74,3,25,85,25,-3.222
4,37,3,Emeka Egbuka,WR,20,TB,10,40.9,41.7,0.84,224,33,89,18,48,78,11,-3.286
4,37,4,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.333
5,44,1,Luther Burden III,WR,23,CHI,10,50.7,64.5,1.0,200,9,98,14,35,85,9,-3.441
5,44,2,Jaylen Waddle,WR,21,DEN,10,41.0,48.0,0.78,208,17,85,50,70,85,14,-3.58
5,44,3,Colston Loveland,TE,3,CHI,10,39.1,45.4,0.54,200,29,96,16,19,75,30,-3.602
5,44,4,Tyler Warren,TE,4,IND,13,54.0,55.4,0.9,194,23,87,10,27,63,3,-3.679
6,57,1,Jameson Williams,WR,25,DET,6,52.2,58.0,0.71,207,16,70,46,31,64,20,-3.921
6,57,2,Christian Watson,WR,28,GB,11,58.2,74.9,1.0,187,-4,90,85,74,68,19,-3.966
6,57,3,Parker Washington,WR,30,JAX,7,67.9,78.4,1.0,189,-2,91,64,83,62,7,-4.007
6,57,4,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.98,281,-2,92,2,8,77,17,-4.011
7,64,1,Justin Herbert,QB,9,LAC,7,80.1,89.5,0.94,281,-2,92,2,8,77,17,-4.02
7,64,2,Christian Watson,WR,28,GB,11,58.2,74.9,0.98,187,-4,90,85,74,68,19,-4.163
7,64,3,Tucker Kraft,TE,5,GB,11,75.2,88.8,0.92,171,0,99,61,96,68,12,-4.169
7,64,4,Parker Washington,WR,30,JAX,7,67.9,78.4,0.98,189,-2,91,64,83,62,7,-4.188
8,77,1,Tucker Kraft,TE,5,GB,11,75.2,88.8,0.76,171,0,99,61,96,68,12,-4.128
8,77,2,Sam LaPorta,TE,6,DET,6,76.5,82.9,0.43,181,10,79,56,87,62,28,-4.297
8,77,3,Parker Washington,WR,30,JAX,7,67.9,78.4,0.58,189,-2,91,64,83,62,7,-4.362
8,77,4,DK Metcalf,WR,33,PIT,9,76.1,79.2,0.4,187,-4,25,5,5,44,8,-4.378
9,84,1,RJ Harvey,RB,34,DEN,10,95.9,110.7,0.99,155,-29,99,64,57,85,7,-4.426
9,84,2,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.98,148,-36,88,23,18,80,16,-4.427
9,84,3,Jordan Addison,WR,42,MIN,6,98.1,111.7,0.99,165,-26,79,30,69,46,4,-4.441
9,84,4,Blake Corum,RB,35,LAR,11,102.2,119.2,0.98,128,-56,97,41,48,85,22,-4.443
10,97,1,Kyle Monangai,RB,37,CHI,10,109.5,115.8,0.9,148,-36,88,23,18,80,16,-4.471
10,97,2,Blake Corum,RB,35,LAR,11,102.2,119.2,0.89,128,-56,97,41,48,85,22,-4.477
10,97,3,Jayden Reed,WR,40,GB,11,94.9,119.4,1.0,170,-21,73,41,56,68,19,-4.496
10,97,4,Jordan Addison,WR,42,MIN,6,98.1,111.7,0.93,165,-26,79,30,69,46,4,-4.502
11,104,1,Blake Corum,RB,35,LAR,11,102.2,119.2,0.81,128,-56,97,41,48,85,22,-4.517
11,104,2,Jayden Reed,WR,40,GB,11,94.9,119.4,1.0,170,-21,73,41,56,68,19,-4.536
11,104,3,Jordan Mason,RB,40,MIN,6,111.7,125.0,0.94,141,-43,89,34,60,69,2,-4.537
11,104,4,Jordan Addison,WR,42,MIN,6,98.1,111.7,0.84,165,-26,79,30,69,46,4,-4.569
12,117,1,KC Concepcion,WR,49,CLE,11,113.9,133.6,0.99,138,-53,100,58,79,68,2,-4.655
12,117,2,Jayden Reed,WR,40,GB,11,94.9,119.4,0.97,170,-21,73,41,56,68,19,-4.669
12,117,3,Quentin Johnston,WR,43,LAC,7,99.0,114.6,0.82,166,-25,94,47,49,81,25,-4.731
12,117,4,Josh Downs,WR,39,IND,13,94.7,116.9,0.93,167,-24,76,51,44,40,18,-4.733
